race,age,sexe,sterilise,poids,region,freq_soins,cout_moyen
Caniche,1.1,F,1,9.9,Île-de-France,2,28.36
Golden Retriever,9.2,F,1,26.7,Autres,1,845.22
Yorkshire,9.3,M,1,4.4,Île-de-France,0,756.11
Golden Retriever,13.0,F,0,28.3,Île-de-France,1,316.01
Golden Retriever,5.3,M,1,24.5,Occitanie,2,366.25
Beagle,1.4,M,0,16.7,Île-de-France,0,703.08
Yorkshire,7.9,M,0,4.3,Occitanie,3,206.56
Berger Allemand,10.1,M,1,40.3,Occitanie,1,205.84
Berger Allemand,14.1,F,0,33.4,Auvergne-Rhône-Alpes,3,1037.94
Caniche,11.5,F,1,10.9,Auvergne-Rhône-Alpes,1,282.21
Yorkshire,14.2,F,1,2.8,Île-de-France,2,106.06
Berger Allemand,11.3,M,1,28.4,Île-de-France,0,479.13
Bouledogue français,9.8,M,0,15.9,Occitanie,5,772.45
Teckel,5.1,F,1,8.8,Hauts-de-France,2,265.28
Golden Retriever,8.2,F,1,31.6,Île-de-France,1,522.6
Bouledogue français,4.3,M,0,13.2,Occitanie,0,252.4
Chihuahua,2.6,F,0,2.6,Auvergne-Rhône-Alpes,1,171.3
Beagle,10.1,F,1,19.2,Occitanie,1,71.85
Berger Allemand,0.7,F,1,32.1,Occitanie,1,93.66
Beagle,1.1,F,0,13.8,Nouvelle-Aquitaine,2,332.89
Labrador,7.7,M,1,25.8,Occitanie,2,696.74
Yorkshire,7.6,F,1,4.0,Île-de-France,1,40.5
Golden Retriever,6.6,F,1,37.7,Occitanie,2,371.0
Croisé,11.3,M,1,23.6,Occitanie,3,343.85
Rottweiler,4.4,M,1,47.0,Hauts-de-France,2,951.23
Berger Allemand,10.3,M,1,35.6,Autres,1,332.86
Chihuahua,9.8,F,1,2.6,Hauts-de-France,2,351.77
Chihuahua,6.0,F,0,3.1,Île-de-France,1,713.69
Croisé,14.7,M,0,22.3,Occitanie,1,690.75
Croisé,11.9,F,1,19.1,Auvergne-Rhône-Alpes,1,159.86
Labrador,14.9,M,1,39.3,Autres,2,348.34
Golden Retriever,5.8,F,1,33.1,Hauts-de-France,0,270.68
Rottweiler,6.1,F,1,41.5,Auvergne-Rhône-Alpes,2,886.29
Chihuahua,5.1,F,0,2.6,Île-de-France,2,61.37
Teckel,9.4,M,0,10.3,Auvergne-Rhône-Alpes,3,1004.87
Rottweiler,5.7,M,0,57.2,Hauts-de-France,1,1601.49
Beagle,10.7,M,1,16.2,Île-de-France,3,859.0
Golden Retriever,11.0,F,1,29.8,Auvergne-Rhône-Alpes,1,701.78
Chihuahua,11.9,M,0,2.7,Hauts-de-France,1,157.32
Caniche,2.4,F,1,8.3,Autres,3,146.56
Beagle,5.7,F,1,16.6,Occitanie,0,149.29
Teckel,6.4,F,1,8.5,Occitanie,1,71.75
Husky,1.6,F,0,31.8,Nouvelle-Aquitaine,1,119.85
Chihuahua,4.3,M,1,3.3,Autres,1,95.03
Caniche,8.0,M,1,13.2,Occitanie,2,296.75
Rottweiler,10.8,F,1,53.1,Hauts-de-France,1,1094.2
Croisé,2.4,M,1,20.7,Île-de-France,1,381.73
Yorkshire,14.9,M,1,4.2,Île-de-France,1,105.33
Teckel,10.2,F,1,7.3,Nouvelle-Aquitaine,3,106.42
Croisé,3.6,M,0,20.5,Nouvelle-Aquitaine,3,424.12
Berger Allemand,11.9,M,1,36.4,Hauts-de-France,2,1087.51
Yorkshire,3.2,M,1,5.5,Auvergne-Rhône-Alpes,1,151.77
Beagle,9.8,M,1,13.7,Hauts-de-France,2,263.32
Rottweiler,13.7,M,1,51.4,Autres,3,548.27
Husky,13.9,M,0,24.7,Nouvelle-Aquitaine,1,263.94
Yorkshire,10.4,F,0,3.2,Auvergne-Rhône-Alpes,3,106.69
Croisé,12.4,F,1,17.9,Hauts-de-France,3,195.36
Croisé,7.9,F,1,17.1,Nouvelle-Aquitaine,2,244.37
Beagle,11.7,F,0,14.1,Occitanie,3,107.35
Caniche,0.8,M,1,9.8,Autres,1,289.74
Yorkshire,2.4,F,0,4.6,Occitanie,4,67.56
Yorkshire,13.6,F,0,3.7,Nouvelle-Aquitaine,4,16.22
Beagle,6.2,F,1,14.9,Hauts-de-France,1,281.54
Beagle,3.1,F,1,12.5,Île-de-France,1,160.69
Yorkshire,2.6,F,1,4.2,Auvergne-Rhône-Alpes,0,365.76
Bouledogue français,6.2,M,1,12.9,Autres,1,325.98
Berger Allemand,11.9,M,1,34.0,Auvergne-Rhône-Alpes,1,173.13
Chihuahua,1.7,M,1,2.8,Occitanie,2,115.39
Rottweiler,13.7,M,0,35.9,Hauts-de-France,0,1675.52
Berger Allemand,12.8,F,1,40.3,Autres,2,209.85
Teckel,9.6,M,0,7.7,Île-de-France,2,721.51
Chihuahua,9.4,M,1,3.6,Hauts-de-France,3,372.0
Croisé,4.2,M,0,14.1,Île-de-France,1,737.78
Labrador,1.5,F,0,33.3,Occitanie,2,242.6
Caniche,2.0,F,0,9.0,Île-de-France,2,442.71
Chihuahua,1.5,M,0,3.3,Occitanie,0,142.76
Rottweiler,5.3,F,0,46.9,Occitanie,5,345.77
Berger Allemand,10.3,M,0,41.5,Île-de-France,2,1123.57
Yorkshire,13.3,F,1,4.3,Autres,1,118.86
Yorkshire,2.2,M,0,3.6,Autres,2,24.19
Caniche,7.0,F,1,10.6,Auvergne-Rhône-Alpes,3,187.11
Labrador,11.5,F,1,39.8,Hauts-de-France,4,682.16
Husky,2.2,M,1,31.6,Auvergne-Rhône-Alpes,0,338.18
Labrador,9.2,M,1,28.6,Île-de-France,1,129.23
Chihuahua,9.6,F,0,2.6,Nouvelle-Aquitaine,1,147.19
Beagle,12.4,M,1,18.2,Autres,0,252.89
Bouledogue français,13.7,F,1,12.7,Hauts-de-France,3,759.12
Chihuahua,11.9,F,1,2.7,Nouvelle-Aquitaine,1,116.07
Caniche,11.4,M,0,10.7,Île-de-France,3,162.18
Husky,13.0,M,0,25.6,Autres,2,78.43
Beagle,3.6,F,1,18.2,Autres,0,86.26
Yorkshire,1.4,M,1,3.7,Nouvelle-Aquitaine,1,188.01
Caniche,13.3,M,1,8.3,Hauts-de-France,3,150.89
Teckel,1.1,M,0,8.8,Nouvelle-Aquitaine,0,334.39
Bouledogue français,6.5,F,1,12.9,Autres,0,549.73
Chihuahua,11.6,M,0,2.4,Hauts-de-France,2,31.68
Golden Retriever,10.2,F,1,31.8,Nouvelle-Aquitaine,0,387.59
Chihuahua,14.6,F,1,3.2,Occitanie,1,598.46
Berger Allemand,10.3,F,0,36.8,Occitanie,3,1714.86
Caniche,14.9,M,0,9.0,Occitanie,2,106.99
Croisé,14.7,F,1,16.6,Nouvelle-Aquitaine,1,625.69
Croisé,5.0,F,0,16.5,Nouvelle-Aquitaine,0,562.1
Golden Retriever,13.5,F,1,28.3,Autres,1,637.31
Rottweiler,5.1,M,1,41.9,Auvergne-Rhône-Alpes,0,702.14
Husky,4.8,M,0,22.3,Autres,1,635.23
Beagle,13.6,M,1,14.1,Auvergne-Rhône-Alpes,3,605.32
Rottweiler,1.7,M,1,48.5,Autres,1,472.66
Labrador,5.1,F,0,34.3,Autres,2,720.74
Husky,14.9,F,1,30.8,Nouvelle-Aquitaine,2,303.76
Golden Retriever,8.6,F,1,26.9,Nouvelle-Aquitaine,3,855.69
Rottweiler,11.9,M,1,43.5,Hauts-de-France,2,449.56
Chihuahua,12.4,F,1,2.8,Auvergne-Rhône-Alpes,5,223.39
Husky,8.4,M,1,32.9,Autres,1,124.06
Chihuahua,9.2,M,0,2.7,Auvergne-Rhône-Alpes,3,229.6
Yorkshire,8.4,M,1,3.5,Occitanie,1,318.71
Labrador,1.4,M,1,32.3,Hauts-de-France,0,289.46
Husky,2.2,M,1,29.3,Autres,3,429.78
Berger Allemand,9.2,M,1,38.5,Autres,2,192.9
Husky,12.1,M,1,22.5,Auvergne-Rhône-Alpes,1,619.18
Chihuahua,2.0,M,1,3.4,Occitanie,1,66.67
Husky,11.1,F,1,26.4,Autres,0,36.88
Golden Retriever,10.8,F,1,30.3,Autres,6,258.45
Yorkshire,11.7,M,0,4.6,Nouvelle-Aquitaine,2,41.72
Chihuahua,3.5,M,0,2.4,Occitanie,2,308.13
Yorkshire,8.9,M,1,4.0,Auvergne-Rhône-Alpes,4,115.37
Beagle,0.8,F,1,12.3,Autres,3,276.57
Rottweiler,4.2,M,0,44.6,Autres,3,645.57
Yorkshire,7.3,F,0,3.9,Occitanie,2,399.95
Teckel,9.1,F,0,9.2,Occitanie,0,443.92
Yorkshire,1.9,M,0,4.4,Nouvelle-Aquitaine,5,122.67
Croisé,11.0,M,0,20.8,Île-de-France,2,410.85
Yorkshire,1.2,F,1,3.7,Île-de-France,0,366.93
Beagle,10.1,M,1,17.3,Autres,2,477.35
Croisé,9.6,M,1,21.1,Occitanie,1,101.91
Rottweiler,7.2,M,1,49.8,Auvergne-Rhône-Alpes,2,1867.57
Beagle,13.3,F,1,18.6,Nouvelle-Aquitaine,1,685.78
Caniche,1.6,F,0,7.0,Auvergne-Rhône-Alpes,0,321.85
Croisé,6.5,F,1,21.5,Hauts-de-France,1,508.92
Labrador,13.7,M,1,29.5,Occitanie,0,471.9
Caniche,8.0,F,1,9.9,Auvergne-Rhône-Alpes,4,360.16
Teckel,6.5,M,1,7.6,Nouvelle-Aquitaine,1,73.84
Golden Retriever,0.8,M,1,37.3,Île-de-France,0,240.23
Rottweiler,1.4,M,1,48.7,Autres,3,278.65
Golden Retriever,6.7,F,1,35.6,Autres,0,111.34
Bouledogue français,3.8,F,1,14.6,Occitanie,2,215.44
Yorkshire,3.4,M,1,4.5,Auvergne-Rhône-Alpes,0,54.78
Caniche,1.1,M,0,10.4,Nouvelle-Aquitaine,4,157.39
Yorkshire,7.6,F,1,4.4,Autres,2,107.97
Chihuahua,4.5,F,1,3.5,Hauts-de-France,0,147.94
Chihuahua,11.1,M,0,2.8,Hauts-de-France,5,55.34
Caniche,7.3,F,1,9.7,Occitanie,1,403.61
Chihuahua,1.8,M,0,3.7,Nouvelle-Aquitaine,3,123.8
Husky,3.2,F,0,28.3,Occitanie,1,320.57
Teckel,14.7,M,1,8.8,Nouvelle-Aquitaine,2,329.8
Bouledogue français,11.0,F,1,10.3,Nouvelle-Aquitaine,0,191.23
Chihuahua,9.3,M,1,3.2,Autres,2,32.39
Beagle,3.5,M,0,15.0,Auvergne-Rhône-Alpes,0,376.75
Bouledogue français,2.4,M,1,10.1,Hauts-de-France,1,85.38
Yorkshire,7.6,M,0,3.6,Nouvelle-Aquitaine,1,362.83
Caniche,2.1,F,1,10.2,Autres,1,288.5
Chihuahua,10.9,F,1,3.2,Île-de-France,1,165.3
Chihuahua,3.5,F,0,2.2,Auvergne-Rhône-Alpes,1,277.65
Yorkshire,1.4,F,1,5.0,Île-de-France,2,205.59
Rottweiler,12.8,M,1,57.4,Hauts-de-France,3,600.53
Yorkshire,4.7,F,0,2.7,Autres,0,241.1
Croisé,1.8,M,1,21.5,Auvergne-Rhône-Alpes,0,12.56
Golden Retriever,12.3,M,0,32.0,Île-de-France,5,1074.52
Bouledogue français,2.6,F,1,11.3,Autres,0,59.47
Bouledogue français,1.8,M,1,11.7,Île-de-France,2,122.53
Beagle,13.3,M,0,14.8,Autres,2,399.72
Rottweiler,6.8,M,1,35.3,Occitanie,1,501.77
Berger Allemand,5.6,M,0,42.9,Hauts-de-France,0,913.03
Berger Allemand,1.6,F,1,27.2,Hauts-de-France,3,234.75
Croisé,11.8,F,1,18.0,Île-de-France,3,959.26
Croisé,9.7,M,0,13.3,Occitanie,3,1252.58
Berger Allemand,6.1,F,0,42.0,Occitanie,2,14.6
Croisé,14.4,M,0,16.0,Nouvelle-Aquitaine,2,205.06
Beagle,6.3,M,1,17.5,Nouvelle-Aquitaine,0,133.86
Chihuahua,13.8,F,1,3.7,Auvergne-Rhône-Alpes,1,82.69
Chihuahua,12.0,M,0,2.1,Auvergne-Rhône-Alpes,2,146.97
Yorkshire,3.5,F,1,4.1,Occitanie,1,159.31
Labrador,3.7,F,1,23.0,Île-de-France,2,554.32
Bouledogue français,14.3,M,1,10.3,Autres,3,193.54
Caniche,11.4,F,1,11.3,Nouvelle-Aquitaine,2,103.24
Croisé,8.3,M,1,16.8,Île-de-France,1,431.28
Croisé,4.4,F,0,20.7,Auvergne-Rhône-Alpes,0,279.48
Labrador,12.5,F,1,29.5,Autres,2,416.29
Croisé,4.7,F,1,19.2,Auvergne-Rhône-Alpes,1,251.99
Golden Retriever,5.7,M,0,25.6,Auvergne-Rhône-Alpes,1,36.22
Caniche,14.7,F,1,9.0,Auvergne-Rhône-Alpes,1,281.23
Yorkshire,11.2,F,0,3.5,Hauts-de-France,4,405.21
Husky,3.2,F,0,30.5,Hauts-de-France,0,172.77
Labrador,6.2,F,0,31.6,Île-de-France,1,915.59
Chihuahua,10.4,M,1,2.7,Occitanie,2,309.06
Yorkshire,12.4,F,0,5.0,Nouvelle-Aquitaine,3,425.39
Golden Retriever,10.6,M,0,36.5,Auvergne-Rhône-Alpes,3,437.12
Bouledogue français,11.2,F,1,12.4,Auvergne-Rhône-Alpes,2,81.48
Croisé,3.9,F,0,21.5,Île-de-France,1,167.41
Labrador,13.2,M,1,32.4,Autres,1,202.38
Teckel,12.8,F,1,9.1,Île-de-France,4,223.75
Teckel,13.5,F,1,7.0,Nouvelle-Aquitaine,2,715.74
Husky,12.4,M,1,23.2,Île-de-France,1,213.17
Croisé,1.2,F,0,21.0,Occitanie,1,1067.59
Husky,9.1,M,1,27.4,Auvergne-Rhône-Alpes,2,237.18
Chihuahua,4.2,F,0,3.5,Autres,0,147.78
Labrador,11.2,M,0,27.7,Nouvelle-Aquitaine,7,799.37
Bouledogue français,8.3,F,1,10.4,Auvergne-Rhône-Alpes,1,673.49
Rottweiler,8.0,F,0,35.9,Auvergne-Rhône-Alpes,0,512.79
Rottweiler,5.0,M,1,39.6,Autres,2,859.97
Bouledogue français,9.2,M,1,10.7,Nouvelle-Aquitaine,1,285.65
Beagle,8.1,F,0,15.2,Occitanie,3,386.06
Bouledogue français,2.0,F,1,12.7,Autres,0,125.6
Labrador,13.2,M,1,32.7,Hauts-de-France,3,368.27
Croisé,7.7,F,0,18.5,Autres,2,284.99
Chihuahua,7.3,M,0,2.4,Hauts-de-France,1,398.21
Croisé,10.8,M,1,23.3,Occitanie,1,342.97
Husky,13.9,F,1,32.1,Île-de-France,0,443.41
Chihuahua,10.8,M,1,3.3,Île-de-France,2,138.14
Labrador,5.1,M,1,29.6,Hauts-de-France,0,652.13
Husky,4.1,M,0,33.1,Autres,4,336.65
Rottweiler,4.4,F,1,37.2,Nouvelle-Aquitaine,1,435.85
Husky,6.1,M,0,26.8,Autres,2,89.54
Husky,6.4,F,1,20.2,Nouvelle-Aquitaine,1,731.6
Chihuahua,5.7,F,0,2.5,Hauts-de-France,2,76.15
Golden Retriever,6.6,F,1,33.9,Île-de-France,2,1685.11
Caniche,1.0,M,1,11.4,Île-de-France,1,220.14
Teckel,13.0,F,1,6.6,Autres,1,63.41
Teckel,10.8,M,0,9.9,Nouvelle-Aquitaine,5,237.1
Labrador,4.8,F,1,31.5,Nouvelle-Aquitaine,1,312.37
Croisé,11.9,M,1,21.3,Autres,3,42.38
Beagle,10.0,M,1,15.4,Hauts-de-France,5,372.19
Caniche,5.0,F,1,7.7,Auvergne-Rhône-Alpes,1,52.9
Chihuahua,1.4,F,0,2.2,Île-de-France,1,42.53
Labrador,4.5,M,1,31.7,Auvergne-Rhône-Alpes,0,521.04
Golden Retriever,4.6,F,1,25.7,Auvergne-Rhône-Alpes,0,429.38
Caniche,12.3,F,0,8.9,Île-de-France,2,413.98
Golden Retriever,13.3,F,1,28.0,Occitanie,3,203.26
Teckel,11.8,F,1,7.6,Autres,4,194.56
Golden Retriever,14.5,F,0,37.4,Nouvelle-Aquitaine,1,287.03
Golden Retriever,0.6,M,0,28.5,Hauts-de-France,1,230.07
Berger Allemand,5.3,F,1,39.2,Autres,1,375.52
Caniche,3.2,M,0,8.6,Île-de-France,1,385.81
Labrador,6.1,F,1,33.5,Île-de-France,0,317.47
Croisé,11.7,F,1,18.0,Hauts-de-France,4,146.53
Labrador,14.6,F,1,28.8,Auvergne-Rhône-Alpes,1,392.59
Beagle,12.8,M,0,18.1,Autres,3,646.24
Chihuahua,8.4,M,1,2.8,Nouvelle-Aquitaine,0,753.68
Rottweiler,11.2,M,0,49.8,Occitanie,0,1246.41
Labrador,11.9,M,0,34.1,Auvergne-Rhône-Alpes,7,1003.11
Caniche,7.9,M,0,11.2,Île-de-France,3,178.55
Berger Allemand,3.2,M,1,29.6,Autres,1,73.8
Teckel,3.2,M,1,8.4,Île-de-France,1,216.2
Bouledogue français,5.6,M,1,14.7,Auvergne-Rhône-Alpes,0,228.92
Rottweiler,14.6,M,1,54.8,Hauts-de-France,3,648.48
Teckel,14.7,F,0,7.9,Île-de-France,0,281.4
Berger Allemand,10.1,M,0,38.7,Île-de-France,1,302.72
Caniche,0.7,F,1,8.4,Auvergne-Rhône-Alpes,0,36.27
Caniche,7.5,M,1,11.6,Île-de-France,0,158.07
Husky,2.1,M,0,28.1,Hauts-de-France,0,214.25
Golden Retriever,7.1,F,0,27.6,Île-de-France,0,254.86
Labrador,6.8,M,0,33.9,Auvergne-Rhône-Alpes,2,392.09
Croisé,8.8,F,0,15.6,Nouvelle-Aquitaine,1,748.81
Croisé,3.6,M,0,18.6,Autres,3,973.57
Croisé,10.0,M,1,12.0,Nouvelle-Aquitaine,1,560.85
Berger Allemand,5.4,F,1,42.4,Auvergne-Rhône-Alpes,0,718.01
Yorkshire,5.0,M,0,4.0,Hauts-de-France,1,376.25
Beagle,2.3,M,1,13.7,Occitanie,2,29.31
Yorkshire,12.6,M,0,3.9,Autres,5,467.62
Teckel,14.2,F,0,8.1,Nouvelle-Aquitaine,5,219.32
Teckel,14.8,M,1,6.2,Île-de-France,1,98.03
Beagle,8.6,F,0,14.3,Occitanie,0,185.91
Croisé,12.1,M,0,25.3,Auvergne-Rhône-Alpes,2,592.8
Bouledogue français,9.4,M,1,12.4,Nouvelle-Aquitaine,5,84.34
Caniche,2.0,M,1,10.6,Autres,1,160.94
Berger Allemand,14.8,F,1,38.4,Occitanie,3,1059.35
Rottweiler,7.9,F,0,36.3,Occitanie,1,849.06
Labrador,8.9,F,0,25.7,Occitanie,2,331.65
Rottweiler,1.0,F,1,42.6,Autres,2,252.2
Labrador,13.5,M,0,24.9,Hauts-de-France,4,553.34
Rottweiler,6.5,F,1,41.2,Autres,0,554.76
Caniche,2.3,F,1,12.8,Nouvelle-Aquitaine,1,383.84
Rottweiler,4.8,F,1,43.6,Nouvelle-Aquitaine,2,380.92
Caniche,3.8,M,0,7.6,Occitanie,2,22.98
Bouledogue français,3.7,F,0,9.5,Nouvelle-Aquitaine,2,754.95
Bouledogue français,4.5,M,1,12.5,Autres,0,391.57
Chihuahua,2.2,M,1,2.9,Île-de-France,2,59.58
Chihuahua,1.9,F,1,2.7,Auvergne-Rhône-Alpes,2,166.4
Berger Allemand,1.9,F,1,46.0,Autres,1,963.35
Teckel,12.1,M,0,6.8,Nouvelle-Aquitaine,3,561.07
Beagle,13.0,M,1,17.7,Occitanie,0,223.85
Husky,12.8,F,1,27.9,Hauts-de-France,1,477.87
Bouledogue français,9.0,F,1,12.1,Occitanie,1,277.17
Rottweiler,7.8,M,0,37.1,Nouvelle-Aquitaine,2,875.74
Golden Retriever,14.5,M,0,35.6,Occitanie,2,420.75
Chihuahua,10.2,F,0,2.7,Hauts-de-France,0,65.14
Berger Allemand,3.0,M,0,28.2,Autres,2,692.47
Yorkshire,1.8,M,1,4.2,Hauts-de-France,2,304.7
Berger Allemand,5.4,F,0,25.4,Occitanie,0,124.61
Teckel,3.1,F,0,8.0,Hauts-de-France,1,94.97
Chihuahua,14.9,F,1,3.3,Nouvelle-Aquitaine,1,315.76
Chihuahua,6.1,M,0,3.5,Hauts-de-France,3,289.8
Yorkshire,2.2,F,1,4.1,Auvergne-Rhône-Alpes,0,151.99
Husky,6.0,F,1,19.0,Nouvelle-Aquitaine,2,307.56
Caniche,12.8,F,1,11.2,Île-de-France,0,563.16
Bouledogue français,11.0,M,0,12.1,Occitanie,2,117.99
Caniche,11.4,M,1,12.3,Auvergne-Rhône-Alpes,1,411.54
Berger Allemand,11.9,M,0,33.5,Nouvelle-Aquitaine,4,885.41
Croisé,14.8,M,1,17.1,Auvergne-Rhône-Alpes,2,159.8
Berger Allemand,10.5,M,0,37.2,Île-de-France,2,579.22
Yorkshire,3.4,F,1,3.7,Auvergne-Rhône-Alpes,0,217.37
Chihuahua,12.3,F,0,3.0,Île-de-France,5,237.81
Chihuahua,2.4,F,0,2.8,Autres,1,36.52
Yorkshire,2.4,M,1,3.4,Île-de-France,1,57.07
Husky,2.9,M,1,29.5,Hauts-de-France,1,346.37
Beagle,4.1,M,1,14.1,Auvergne-Rhône-Alpes,0,298.64
Teckel,1.4,F,1,6.5,Autres,1,122.04
Yorkshire,11.6,F,0,3.4,Hauts-de-France,2,5.37
Golden Retriever,10.9,M,0,30.5,Auvergne-Rhône-Alpes,2,779.98
Rottweiler,8.9,F,0,48.6,Occitanie,0,3716.15
Caniche,5.0,F,1,10.3,Autres,0,120.62
Beagle,4.3,M,0,10.0,Nouvelle-Aquitaine,1,195.53
Caniche,11.5,F,1,9.5,Île-de-France,3,263.63
Golden Retriever,3.7,M,1,33.4,Autres,1,235.15
Golden Retriever,1.2,F,0,28.6,Hauts-de-France,3,384.02
Beagle,14.4,M,1,14.8,Hauts-de-France,1,253.62
Berger Allemand,8.4,M,1,34.6,Autres,2,739.1
Teckel,11.2,M,0,6.8,Auvergne-Rhône-Alpes,0,102.92
Berger Allemand,9.9,F,1,34.8,Auvergne-Rhône-Alpes,3,122.02
Berger Allemand,13.6,F,0,29.3,Occitanie,1,402.67
Husky,3.4,F,1,25.1,Hauts-de-France,2,385.14
Husky,13.0,F,1,24.5,Autres,2,456.07
Caniche,4.9,F,1,9.9,Occitanie,0,15.02
Croisé,13.8,F,1,18.6,Hauts-de-France,2,200.3
Rottweiler,0.8,M,1,52.1,Nouvelle-Aquitaine,2,1144.69
Croisé,12.1,F,1,18.1,Hauts-de-France,4,96.89
Labrador,14.9,M,0,24.6,Auvergne-Rhône-Alpes,1,853.31
Yorkshire,13.0,F,0,5.3,Nouvelle-Aquitaine,1,433.61
Rottweiler,0.6,F,1,44.0,Hauts-de-France,0,550.96
Caniche,11.5,F,1,10.5,Hauts-de-France,3,90.27
Berger Allemand,6.2,F,0,27.7,Hauts-de-France,2,92.88
Rottweiler,7.2,F,1,41.8,Auvergne-Rhône-Alpes,1,169.71
Berger Allemand,8.8,M,1,30.9,Autres,3,480.9
Teckel,2.6,F,1,8.7,Occitanie,1,106.38
Berger Allemand,11.5,M,1,29.3,Autres,1,436.09
Husky,13.8,F,1,28.0,Autres,1,511.48
Teckel,11.9,F,1,8.2,Nouvelle-Aquitaine,2,342.3
Chihuahua,10.2,M,1,2.9,Occitanie,1,184.37
Berger Allemand,10.0,F,1,36.8,Auvergne-Rhône-Alpes,4,751.4
Beagle,9.7,F,0,10.7,Autres,2,247.66
Caniche,3.5,M,1,9.3,Hauts-de-France,1,59.9
Beagle,7.3,M,1,17.5,Hauts-de-France,1,185.57
Beagle,6.6,F,1,17.3,Autres,0,81.2
Husky,3.2,M,0,28.1,Autres,3,192.13
Beagle,2.7,F,1,13.4,Auvergne-Rhône-Alpes,0,272.8
Caniche,13.6,M,1,10.3,Occitanie,2,70.59
Rottweiler,14.2,M,1,47.2,Occitanie,3,138.16
Croisé,2.2,M,1,16.8,Autres,0,291.55
Beagle,11.3,F,1,13.1,Nouvelle-Aquitaine,0,169.12
Yorkshire,4.9,M,1,4.3,Occitanie,1,282.07
Labrador,2.4,M,0,38.5,Occitanie,0,207.95
Golden Retriever,7.4,F,1,37.8,Nouvelle-Aquitaine,3,139.82
Berger Allemand,11.4,F,0,35.8,Occitanie,1,376.46
Berger Allemand,12.1,F,0,25.8,Autres,2,727.6
Golden Retriever,10.9,F,1,32.2,Nouvelle-Aquitaine,5,901.8
Chihuahua,14.4,F,1,3.6,Nouvelle-Aquitaine,2,139.98
Beagle,5.6,F,0,16.7,Autres,3,399.3
Labrador,11.3,M,1,25.4,Autres,2,194.84
Golden Retriever,13.9,F,1,28.8,Auvergne-Rhône-Alpes,3,404.66
Beagle,5.4,F,0,14.3,Île-de-France,0,641.41
Chihuahua,8.2,M,0,3.3,Nouvelle-Aquitaine,3,48.85
Yorkshire,5.1,M,1,4.2,Nouvelle-Aquitaine,2,63.91
Caniche,12.1,F,0,11.6,Nouvelle-Aquitaine,2,211.36
Golden Retriever,11.6,M,1,36.6,Autres,4,954.55
Golden Retriever,4.0,F,0,27.0,Autres,0,356.01
Teckel,2.5,M,0,7.8,Occitanie,2,160.09
Yorkshire,2.6,M,1,2.6,Nouvelle-Aquitaine,1,293.52
Croisé,9.6,F,1,23.3,Occitanie,1,469.42
Bouledogue français,7.0,F,1,12.6,Hauts-de-France,2,92.54
Labrador,7.3,M,1,32.8,Autres,2,828.69
Golden Retriever,14.0,M,0,31.6,Autres,1,800.58
Husky,14.6,M,1,26.3,Autres,2,254.57
Teckel,14.9,M,0,8.3,Autres,0,87.18
Husky,14.0,F,0,28.7,Auvergne-Rhône-Alpes,4,200.64
Rottweiler,11.7,M,0,56.4,Autres,2,2602.06
Berger Allemand,9.2,M,0,34.0,Nouvelle-Aquitaine,1,587.43
Labrador,13.2,M,1,31.3,Auvergne-Rhône-Alpes,1,1141.02
Beagle,7.6,M,1,11.6,Auvergne-Rhône-Alpes,0,349.27
Husky,14.8,M,1,27.4,Auvergne-Rhône-Alpes,2,324.21
Caniche,12.0,M,0,8.9,Auvergne-Rhône-Alpes,3,159.09
Teckel,14.1,F,0,8.7,Hauts-de-France,3,540.84
Bouledogue français,14.3,F,0,13.6,Hauts-de-France,0,291.22
Chihuahua,6.0,F,1,2.7,Hauts-de-France,0,103.24
Bouledogue français,4.5,M,0,14.5,Occitanie,0,76.67
Caniche,3.6,F,1,7.4,Île-de-France,3,502.27
Croisé,7.8,M,0,17.1,Autres,2,299.92
Chihuahua,4.8,M,0,3.5,Auvergne-Rhône-Alpes,1,223.56
Caniche,12.0,M,0,6.9,Île-de-France,1,566.03
Chihuahua,13.8,M,1,2.4,Île-de-France,2,49.06
Labrador,4.5,M,1,32.0,Auvergne-Rhône-Alpes,3,568.99
Caniche,10.4,M,1,10.6,Nouvelle-Aquitaine,1,391.33
Husky,9.3,M,1,34.1,Auvergne-Rhône-Alpes,1,221.17
Golden Retriever,5.3,M,1,39.5,Hauts-de-France,2,226.96
Yorkshire,5.2,F,0,3.9,Autres,0,114.95
Beagle,1.9,M,1,18.8,Nouvelle-Aquitaine,0,908.63
Chihuahua,2.0,M,1,2.5,Nouvelle-Aquitaine,1,47.83
Teckel,0.9,F,0,9.0,Auvergne-Rhône-Alpes,1,177.33
Labrador,3.0,M,1,39.7,Autres,1,320.61
Labrador,3.5,M,0,36.8,Nouvelle-Aquitaine,0,1063.9
Teckel,2.8,M,1,8.3,Hauts-de-France,2,332.57
Berger Allemand,4.1,M,1,33.2,Auvergne-Rhône-Alpes,1,614.68
Golden Retriever,13.9,M,0,22.5,Nouvelle-Aquitaine,3,331.38
Teckel,0.8,F,0,7.6,Auvergne-Rhône-Alpes,1,364.05
Yorkshire,8.3,M,1,2.8,Auvergne-Rhône-Alpes,2,140.1
Teckel,8.4,M,1,7.2,Île-de-France,4,185.79
Berger Allemand,13.0,F,0,36.4,Nouvelle-Aquitaine,5,563.2
Beagle,0.5,F,1,19.5,Occitanie,2,138.18
